_step,_timestamp,grad/norm/total,memory/in_use_gib,memory/limit_gib,memory/peak_gib,moe/drop_fraction,moe/receiver_drop_fraction,moe/sender_drop_fraction,optim/adam_lr,optim/learning_rate,run_progress,throughput/duration,throughput/examples_per_second,throughput/gflops_per_second,throughput/mfu,throughput/tokens_per_second,throughput/total_gflops,throughput/total_tokens,train/cross_entropy_loss,train/loss
0,1787192041.888872,1.1348031759262085,17.79820929467678,138.22457885742188,143.46715576946735,0.10431976345452396,0.08187957813568188,0.02244018531884208,0,0,0,87.5536063821055,128.65261027445436,78905182.81508815,4.483249023584555,526961.0916841651,6908433317.700305,46137344.0,11.801494598388672,11.801494598388672
10,1787192245.988896,1.1386994123458862,18.050302654504776,138.22457885742188,143.7193919122219,0.0018486704564455783,0.00014339009243430513,0.0017052803640112732,1.9459985196590424e-06,8.43266025185585e-06,2.5624533953788716e-05,19.09762122388929,589.8116769595272,361743132.1267655,20.55358705265713,2415868.6288262233,75992766494.70335,507510784.0,11.78945541381836,11.78945541381836
20,1787192437.2177622,1.1422470808029175,18.050302654504776,138.22457885742188,143.7193919122219,0.002278982689886382,0.0003963029858740893,0.0018826797040122929,3.892055246978998e-06,1.6865553334355354e-05,5.124906790757743e-05,18.441380542702973,610.8002583601055,374615842.97895133,21.284991078349506,2501837.8582429923,145077099671.7064,968884224.0,11.750571250915527,11.750571250915527
30,1787192625.349858,1.141878604888916,18.050302654504776,138.22457885742188,143.7193919122219,0.0024228104474869642,0.0005004121498628097,0.0019223982976241546,5.8380537666380405e-06,2.5298213586211205e-05,7.687360186136615e-05,18.474005533847958,609.7215884969921,373954273.4813366,21.24740190234867,2497419.6264836797,214161432848.70944,1430257664.0,11.6897554397583,11.6897554397583
40,1787192814.4817092,1.1921601295471191,18.050302654504776,138.22457885742188,143.7193919122219,0.002573643952156558,0.0007231216313260975,0.0018505223208304608,7.784110493957996e-06,3.373110666871071e-05,0.00010249813581515487,18.44700290262699,610.6140959296929,374501665.8893946,21.2785037437156,2501075.336928022,283245766025.7125,1891631104.0,11.607016563415527,11.607016563415527
50,1787193005.0329916,1.2367017269134521,18.050302654504776,138.22457885742188,143.7193919122219,0.0025204770041234565,0.0005823501357526491,0.0019381268683708076,9.730109013617039e-06,4.216376692056656e-05,0.00012812266976894358,18.310299712233245,615.1728905056884,377297664.4988902,21.43736730107331,2519748.1595113,352330099202.7156,2353004544.0,11.506525993347168,11.506525993347168
60,1787193196.386921,1.3277803659439087,18.050302654504776,138.22457885742188,143.7193919122219,0.0026073304541183243,0.0006821673702109944,0.0019251630839073296,1.1676165740936995e-05,5.059666000306606e-05,0.0001537472037227323,18.29572115279734,615.6630780458621,377598306.1834124,21.454449214966612,2521755.967675851,421414432379.7186,2814377984.0,11.386762619018555,11.386762619018555
70,1787193385.6568441,1.4072513580322266,18.050302654504776,138.22457885742188,143.7193919122219,0.002763484971541347,0.0006593420085581866,0.0021041429629831605,1.3622164260596037e-05,5.902932025492191e-05,0.000179371737676521,18.35287074930966,613.7459449183825,376422490.63189006,21.38764151317557,2513903.390385695,490498765556.7216,3275751424.0,11.254578590393066,11.254578590393066
80,1787193577.4604092,1.4641920328140259,18.050302654504776,138.22457885742188,143.7193919122219,0.0030643152581019835,0.0006512541775450562,0.002413061080556927,1.5568220987915993e-05,6.746221333742142e-05,0.00020499627163030973,18.31425381405279,615.0400728506323,377216204.811979,21.432738909771533,2519204.13839619,559583098733.7247,3737124864.0,11.10252857208252,11.10252857208252
90,1787193767.3870077,1.5005931854248047,18.050302654504776,138.22457885742188,143.7193919122219,0.003916082000642112,0.0011823081383199403,0.0027337738623221717,1.7514219507575035e-05,7.589510641992092e-05,0.00023062080558409844,18.43646633019671,610.9630662547804,374715696.27120596,21.290664560863977,2502504.7193795806,628667431910.7278,4198498304.0,10.951801300048828,10.951801300048828
100,1787193959.9545538,1.5312464237213135,18.050302654504776,138.22457885742188,143.7193919122219,0.004590055820616809,0.0017404373960964608,0.002849618424520348,1.946027623489499e-05,8.432776667177677e-05,0.00025624533953788717,18.42856581415981,611.2249924161309,374876340.7509513,21.29979208812223,2503577.5689364723,697751765087.7308,4659871744.0,10.788360595703125,10.788360595703125
110,1787194152.78933,1.5048327445983887,18.050302654504776,138.22457885742188,143.7193919122219,0.005086588701515487,0.002008846819852338,0.003077741881663149,2.1406274754554033e-05,9.276065975427628e-05,0.0002818698734916759,18.463955749291927,610.0534551179242,374157813.8241171,21.258966694552107,2498778.9521630174,766836098264.7339,5121245184.0,10.627105712890625,10.627105712890625
120,1787194346.6934962,1.4512690305709839,18.050302654504776,138.22457885742188,143.7193919122219,0.005119495432485233,0.0018556817350062456,0.003263813697478988,2.3352273274213076e-05,0.00010119332000613213,0.0003074944074454646,18.495802271179855,609.0030502516539,373513579.80643106,21.222362489001764,2494476.4938307744,835920431441.7369,5582618624.0,10.448996543884277,10.448996543884277
130,1787194539.9109426,1.41244637966156,18.050302654504776,138.22457885742188,143.7193919122219,0.0059421195676832485,0.002683850739038352,0.003258268828644897,2.529833000153303e-05,0.00010962621308863163,0.0003331189413992533,18.331318424083292,614.4675325262803,376865054.5409846,21.41278718982867,2516859.013227644,905004764618.74,6043992064.0,10.288837432861328,10.288837432861328
140,1787194734.1774976,1.3436994552612305,18.050302654504776,138.22457885742188,143.7193919122219,0.005690947344357317,0.002261390288670858,0.0034295570556864595,2.7244328521192074e-05,0.00011805887334048748,0.000358743475353042,18.347708240151405,613.9186350996308,376528404.9253716,21.39365937075975,2514610.729368088,974089097795.743,6505365504.0,10.119831085205078,10.119831085205078
150,1787194928.4886036,1.3018217086791992,18.050302654504776,138.22457885742188,143.7193919122219,0.006763867300116654,0.0030807420950044284,0.003683125205112226,2.919038524851203e-05,0.00012649176642298698,0.00038436800930683075,18.463086024858057,610.0821923720954,374175438.9487776,21.25996812208964,2498896.6599561027,1043173430972.7461,6966738944.0,9.95468521118164,9.95468521118164
160,1787195123.387714,1.2398515939712524,18.050302654504776,138.22457885742188,143.7193919122219,0.007847552893288208,0.003929120855349483,0.0039184320379387245,3.113638376817107e-05,0.00013492442667484283,0.00040999254326061946,18.35801771702245,613.5738712985046,376316954.48765516,21.381645141344045,2513198.576838675,1112257764149.749,7428112384.0,9.807087898254395,9.807087898254395
170,1787195757.4093733,1.187982439994812,18.050302654504776,138.22457885742188,143.7193919122219,0.008890219202095812,0.004662919789552689,0.004227299412543123,3.308244049549103e-05,0.00014335731975734234,0.00043561707721440817,18.499341999180615,608.8865215043277,373442110.42783564,21.218301728854296,2493999.192081726,1181342097326.7522,7889485824.0,9.647636413574219,9.647636413574219
180,1787211447.6727,1.133829951286316,18.050302654504776,138.22457885742188,143.7193919122219,0.009064741884217117,0.004681264134970578,0.004383477749246539,3.502843901515007e-05,0.0001517899800091982,0.00046124161116819687,19.785941707901657,569.2930953850754,349158681.43599015,19.838561445226713,2331824.518697269,1250426430503.7551,8350859264.0,9.505056381225586,9.505056381225586
190,1787211639.0233588,1.0950309038162231,18.050302654504776,138.22457885742188,143.7193919122219,0.01227712704602516,0.007368077834447225,0.004909049211577935,3.6974495742470026e-05,0.0001602228730916977,0.0004868661451219856,18.71094531705603,602.000583569247,369218828.9066773,20.978342551515755,2465794.390299636,1319510763680.7583,8812232704.0,9.362751960754395,9.362751960754395
200,1787211829.3045309,1.0436902046203613,18.050302654504776,138.22457885742188,143.7193919122219,0.012548516194025675,0.007365963619315263,0.005182552574710412,3.892049426212907e-05,0.00016865553334355354,0.0005124906790757743,18.877264501992613,596.696624069182,365965805.95515186,20.793511701997268,2444069.3721873695,1388595096857.7612,9273606144.0,9.23585033416748,9.23585033416748
210,1787212018.143725,1.0208898782730103,18.050302654504776,138.22457885742188,143.7193919122219,0.015412172415491306,0.009776872836730698,0.00563529957876061,4.0866550989449024e-05,0.00017708842642605305,0.000538115213029563,18.53462436236441,607.7274499758506,372731229.0033924,21.177910738829112,2489251.635101084,1457679430034.7644,9734979584.0,9.107863426208496,9.107863426208496
220,1787212205.995928,0.9936714768409729,18.050302654504776,138.22457885742188,143.7193919122219,0.015284748409282078,0.00920222315824393,0.006082525251038147,4.2812549509108067e-05,0.0001855210866779089,0.0005637397469833518,18.364431117661297,613.3595932175255,376185533.51518637,21.374178040635588,2512320.8938189843,1526763763211.7673,10196353024.0,8.991342544555664,8.991342544555664
230,1787212393.8781993,0.989715576171875,18.050302654504776,138.22457885742188,143.7193919122219,0.017971773434317474,0.011552624630205559,0.006419148804111915,4.475854802876711e-05,0.00019395374692976475,0.0005893642809371404,18.494957298971713,609.0308735466103,373530644.3818825,21.223332067152416,2494590.458046916,1595848096388.7705,10657726464.0,8.875286102294922,8.875286102294922
240,1787212583.9935741,0.9657440781593323,18.050302654504776,138.22457885742188,143.7193919122219,0.01775330344610142,0.01078706556423144,0.006966237881869981,4.6704604756087065e-05,0.00020238664001226425,0.0006149888148909292,18.30349845578894,615.4014778763498,377437861.6408897,21.445333047777826,2520684.4533815286,1664932429565.7734,11119099904.0,8.757920265197754,8.757920265197754
